attr1,attr2,corr_value
OK,OK,1.0
OK,Funny,0.08981285441175704
OK,Ingenious,-0.07799620122919253
OK,Longwinded,0.44372916718261646
OK,Persuasive,-0.1176317910348059
OK,Courageous,-0.26639842003474645
OK,Jaw-dropping,-0.2685480940852305
OK,Unconvincing,0.48883363170103994
OK,Inspiring,-0.33978405668173456
OK,Informative,0.10445925346912331
OK,Fascinating,-0.10416157582433393
OK,Beautiful,-0.07526130771659345
OK,Obnoxious,0.33156882701974716
OK,Confusing,0.440635030004248
OK,duration,-0.28048866689521823
OK,views,-0.151895334675063
OK,comments,-0.16925483961758084
Funny,OK,0.08981285441175704
Funny,Funny,1.0
Funny,Ingenious,0.06035026020830984
Funny,Longwinded,-0.016236072105254195
Funny,Persuasive,-0.22362433748149066
Funny,Courageous,-0.17675159793785095
Funny,Jaw-dropping,-0.112525227153715
Funny,Unconvincing,-0.053414111844162844
Funny,Inspiring,-0.23852250842585915
Funny,Informative,-0.22713619200882507
Funny,Fascinating,-0.08441951441351357
Funny,Beautiful,-0.07488751912061067
Funny,Obnoxious,0.14593907385273727
Funny,Confusing,0.04764268553455577
Funny,duration,-0.06959994024588327
Funny,views,0.13640060086409744
Funny,comments,-0.0023015296203246134
Ingenious,OK,-0.07799620122919253
Ingenious,Funny,0.06035026020830984
Ingenious,Ingenious,1.0
Ingenious,Longwinded,-0.10764910404755228
Ingenious,Persuasive,-0.2409141884227498
Ingenious,Courageous,-0.37154656411138887
Ingenious,Jaw-dropping,0.24728074484215426
Ingenious,Unconvincing,-0.09926590143400998
Ingenious,Inspiring,-0.21136742616560822
Ingenious,Informative,-0.11665979371814768
Ingenious,Fascinating,0.31226411352478556
Ingenious,Beautiful,-0.1964317545431914
Ingenious,Obnoxious,-0.10561445354481938
Ingenious,Confusing,-0.02975315068076472
Ingenious,duration,-0.15233401607896813
Ingenious,views,-0.0498968571825612
Ingenious,comments,-0.05383952008480678
Longwinded,OK,0.44372916718261646
Longwinded,Funny,-0.016236072105254195
Longwinded,Ingenious,-0.10764910404755228
Longwinded,Longwinded,1.0
Longwinded,Persuasive,-0.04031044663324466
Longwinded,Courageous,-0.17090482765235915
Longwinded,Jaw-dropping,-0.167424976718944
Longwinded,Unconvincing,0.43759903257638694
Longwinded,Inspiring,-0.22452715376920107
Longwinded,Informative,0.003390971631049412
Longwinded,Fascinating,-0.09594880466054966
Longwinded,Beautiful,-0.10885271112798314
Longwinded,Obnoxious,0.39332722371320233
Longwinded,Confusing,0.4990690553508593
Longwinded,duration,0.2667530357843291
Longwinded,views,-0.15696468885745934
Longwinded,comments,-0.08773268419004371
Persuasive,OK,-0.1176317910348059
Persuasive,Funny,-0.22362433748149066
Persuasive,Ingenious,-0.2409141884227498
Persuasive,Longwinded,-0.04031044663324466
Persuasive,Persuasive,1.0
Persuasive,Courageous,0.06889486057956265
Persuasive,Jaw-dropping,-0.26236562815244807
Persuasive,Unconvincing,0.07069697018563029
Persuasive,Inspiring,0.0660060795999305
Persuasive,Informative,0.3888923217636234
Persuasive,Fascinating,-0.3570405454787796
Persuasive,Beautiful,-0.4259525829860969
Persuasive,Obnoxious,-0.07414042250053333
Persuasive,Confusing,-0.1068334027416445
Persuasive,duration,0.14158864878714314
