attr1,attr2,corr_value
Persuasive,views,-0.012585922923153713
Persuasive,comments,0.1832360436801299
Courageous,OK,-0.26639842003474645
Courageous,Funny,-0.17675159793785095
Courageous,Ingenious,-0.37154656411138887
Courageous,Longwinded,-0.17090482765235915
Courageous,Persuasive,0.06889486057956265
Courageous,Courageous,1.0
Courageous,Jaw-dropping,-0.09153829666282659
Courageous,Unconvincing,-0.1130683954718371
Courageous,Inspiring,0.4143021693368822
Courageous,Informative,-0.24135915443992337
Courageous,Fascinating,-0.49597440158877165
Courageous,Beautiful,0.07598186306420944
Courageous,Obnoxious,-0.060480927550158055
Courageous,Confusing,-0.1633589661698602
Courageous,duration,0.048882513770681486
Courageous,views,-0.002255884312232102
Courageous,comments,0.08414532163935061
Jaw-dropping,OK,-0.2685480940852305
Jaw-dropping,Funny,-0.112525227153715
Jaw-dropping,Ingenious,0.24728074484215426
Jaw-dropping,Longwinded,-0.167424976718944
Jaw-dropping,Persuasive,-0.26236562815244807
Jaw-dropping,Courageous,-0.09153829666282659
Jaw-dropping,Jaw-dropping,1.0
Jaw-dropping,Unconvincing,-0.19037061377738237
Jaw-dropping,Inspiring,-0.21481606794052152
Jaw-dropping,Informative,-0.20005126836686496
Jaw-dropping,Fascinating,0.33697732415010995
Jaw-dropping,Beautiful,0.054967131777810124
Jaw-dropping,Obnoxious,-0.10226804961593595
Jaw-dropping,Confusing,-0.11943072690166269
Jaw-dropping,duration,0.02799646926635537
Jaw-dropping,views,0.09533006367799253
Jaw-dropping,comments,0.08743043698396746
Unconvincing,OK,0.48883363170103994
Unconvincing,Funny,-0.053414111844162844
Unconvincing,Ingenious,-0.09926590143400998
Unconvincing,Longwinded,0.43759903257638694
Unconvincing,Persuasive,0.07069697018563029
Unconvincing,Courageous,-0.1130683954718371
Unconvincing,Jaw-dropping,-0.19037061377738237
Unconvincing,Unconvincing,1.0
Unconvincing,Inspiring,-0.3005303225387985
Unconvincing,Informative,0.0218916852241354
Unconvincing,Fascinating,-0.1979794450980975
Unconvincing,Beautiful,-0.19269351674443444
Unconvincing,Obnoxious,0.5496464359283677
Unconvincing,Confusing,0.5361293969196734
Unconvincing,duration,-0.07040445167077977
Unconvincing,views,-0.1318370663010805
Unconvincing,comments,0.04179155149433471
Inspiring,OK,-0.33978405668173456
Inspiring,Funny,-0.23852250842585915
Inspiring,Ingenious,-0.21136742616560822
Inspiring,Longwinded,-0.22452715376920107
Inspiring,Persuasive,0.0660060795999305
Inspiring,Courageous,0.4143021693368822
Inspiring,Jaw-dropping,-0.21481606794052152
Inspiring,Unconvincing,-0.3005303225387985
Inspiring,Inspiring,1.0
Inspiring,Informative,-0.42316026985429
Inspiring,Fascinating,-0.40410054199538414
Inspiring,Beautiful,0.23099656630476045
Inspiring,Obnoxious,-0.23446201813184034
Inspiring,Confusing,-0.3289279651510817
Inspiring,duration,0.08435399121074504
Inspiring,views,0.10257029871774344
Inspiring,comments,0.05669140837992296
Informative,OK,0.10445925346912331
Informative,Funny,-0.22713619200882507
Informative,Ingenious,-0.11665979371814768
Informative,Longwinded,0.003390971631049412
Informative,Persuasive,0.3888923217636234
Informative,Courageous,-0.24135915443992337
Informative,Jaw-dropping,-0.20005126836686496
Informative,Unconvincing,0.0218916852241354
Informative,Inspiring,-0.42316026985429
Informative,Informative,1.0
Informative,Fascinating,0.21101431394964001
Informative,Beautiful,-0.520368034488843
Informative,Obnoxious,-0.15376017228634575
Informative,Confusing,-0.019264099520339487
Informative,duration,0.04028101344166661
Informative,views,-0.06809288803569782
Informative,comments,-0.07689759420210547
Fascinating,OK,-0.10416157582433393
Fascinating,Funny,-0.08441951441351357
Fascinating,Ingenious,0.31226411352478556
Fascinating,Longwinded,-0.09594880466054966
Fascinating,Persuasive,-0.3570405454787796
Fascinating,Courageous,-0.49597440158877165
Fascinating,Jaw-dropping,0.33697732415010995
Fascinating,Unconvincing,-0.1979794450980975
Fascinating,Inspiring,-0.40410054199538414
Fascinating,Informative,0.21101431394964001
Fascinating,Fascinating,1.0
Fascinating,Beautiful,-0.0618597483647231
Fascinating,Obnoxious,-0.21401668508022165
Fascinating,Confusing,-0.042521567880550205
Fascinating,duration,0.08535653222638322
Fascinating,views,0.05041061264121701
Fascinating,comments,-0.021408258956333373
Beautiful,OK,-0.07526130771659345
Beautiful,Funny,-0.07488751912061067
Beautiful,Ingenious,-0.1964317545431914
Beautiful,Longwinded,-0.10885271112798314
Beautiful,Persuasive,-0.4259525829860969
Beautiful,Courageous,0.07598186306420944
Beautiful,Jaw-dropping,0.054967131777810124
Beautiful,Unconvincing,-0.19269351674443444
Beautiful,Inspiring,0.23099656630476045
Beautiful,Informative,-0.520368034488843
Beautiful,Fascinating,-0.0618597483647231
Beautiful,Beautiful,1.0
Beautiful,Obnoxious,-0.05558932973953634
Beautiful,Confusing,-0.11025776957746543
Beautiful,duration,-0.12545161262087115
Beautiful,views,-0.020499645123983532
Beautiful,comments,-0.10157208464699356
Obnoxious,OK,0.33156882701974716
Obnoxious,Funny,0.14593907385273727
Obnoxious,Ingenious,-0.10561445354481938
Obnoxious,Longwinded,0.39332722371320233
Obnoxious,Persuasive,-0.07414042250053333
Obnoxious,Courageous,-0.060480927550158055
Obnoxious,Jaw-dropping,-0.10226804961593595
Obnoxious,Unconvincing,0.5496464359283677
Obnoxious,Inspiring,-0.23446201813184034
Obnoxious,Informative,-0.15376017228634575
Obnoxious,Fascinating,-0.21401668508022165
Obnoxious,Beautiful,-0.05558932973953634
Obnoxious,Obnoxious,1.0
Obnoxious,Confusing,0.43006222792988463
Obnoxious,duration,-0.01919863461283256
Obnoxious,views,-0.11281672176703246
Obnoxious,comments,0.026391926441146525
Confusing,OK,0.440635030004248
Confusing,Funny,0.04764268553455577
Confusing,Ingenious,-0.02975315068076472
Confusing,Longwinded,0.4990690553508593
Confusing,Persuasive,-0.1068334027416445
Confusing,Courageous,-0.1633589661698602
Confusing,Jaw-dropping,-0.11943072690166269
Confusing,Unconvincing,0.5361293969196734
Confusing,Inspiring,-0.3289279651510817
Confusing,Informative,-0.019264099520339487
Confusing,Fascinating,-0.042521567880550205
Confusing,Beautiful,-0.11025776957746543
Confusing,Obnoxious,0.43006222792988463
Confusing,Confusing,1.0
Confusing,duration,-0.008850695328390414
Confusing,views,-0.11381538681705128
Confusing,comments,-0.0623776601053997
duration,OK,-0.28048866689521823
duration,Funny,-0.06959994024588327
duration,Ingenious,-0.15233401607896813
duration,Longwinded,0.2667530357843291
duration,Persuasive,0.14158864878714314
duration,Courageous,0.048882513770681486
duration,Jaw-dropping,0.02799646926635537
duration,Unconvincing,-0.07040445167077977
duration,Inspiring,0.08435399121074504
duration,Informative,0.04028101344166661
duration,Fascinating,0.08535653222638322
duration,Beautiful,-0.12545161262087115
duration,Obnoxious,-0.01919863461283256
duration,Confusing,-0.008850695328390414
duration,duration,1.0
duration,views,0.048753839214608755
duration,comments,0.1407119813692033
views,OK,-0.151895334675063
views,Funny,0.13640060086409744
views,Ingenious,-0.0498968571825612
views,Longwinded,-0.15696468885745934
views,Persuasive,-0.012585922923153713
views,Courageous,-0.002255884312232102
views,Jaw-dropping,0.09533006367799253
views,Unconvincing,-0.1318370663010805
views,Inspiring,0.10257029871774344
views,Informative,-0.06809288803569782
views,Fascinating,0.05041061264121701
views,Beautiful,-0.020499645123983532
views,Obnoxious,-0.11281672176703246
views,Confusing,-0.11381538681705128
views,duration,0.048753839214608755
views,views,1.0
views,comments,0.5309387006213678
comments,OK,-0.16925483961758084
comments,Funny,-0.0023015296203246134
comments,Ingenious,-0.05383952008480678
comments,Longwinded,-0.08773268419004371
comments,Persuasive,0.1832360436801299
comments,Courageous,0.08414532163935061
comments,Jaw-dropping,0.08743043698396746
comments,Unconvincing,0.04179155149433471
comments,Inspiring,0.05669140837992296
comments,Informative,-0.07689759420210547
comments,Fascinating,-0.021408258956333373
comments,Beautiful,-0.10157208464699356
comments,Obnoxious,0.026391926441146525
comments,Confusing,-0.0623776601053997
comments,duration,0.1407119813692033
comments,views,0.5309387006213678
comments,comments,1.0
