OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
135,949,377,41,25,44,94,56,195,21,186,408,73,45,"https://www.ted.com/talks/rives_controls_the_internet
"
133,54,31,8,331,31,62,61,151,749,85,8,14,28,"https://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet
"
62,3,21,70,73,45,32,97,105,265,130,18,47,36,"https://www.ted.com/talks/robert_neuwirth_on_our_shadow_cities
"
111,16,139,79,1668,283,67,537,280,549,169,16,212,63,"https://www.ted.com/talks/bjorn_lomborg_sets_global_priorities
"
75,68,136,55,426,192,380,54,970,698,928,563,46,24,"https://www.ted.com/talks/wade_davis_on_endangered_cultures
"
24,5,16,30,33,61,17,25,157,116,88,126,7,14,"https://www.ted.com/talks/phil_borges_on_endangered_cultures
"
175,47,132,109,188,63,117,60,460,607,737,214,21,27,"https://www.ted.com/talks/martin_rees_asks_is_this_our_final_century
"
129,342,121,102,288,140,23,107,343,251,167,30,40,55,"https://www.ted.com/talks/robert_wright_on_optimism
"
66,20,26,9,72,10,11,5,94,384,201,13,2,5,"https://www.ted.com/talks/steven_johnson_tours_the_ghost_map
"
67,11,116,37,249,29,36,16,408,355,200,32,3,10,"https://www.ted.com/talks/charles_leadbeater_on_innovation
"
81,21,420,58,34,142,2011,22,525,18,846,1810,22,53,"https://www.ted.com/talks/pilobolus_perform_symbiosis
"
37,149,151,14,36,179,146,7,208,67,224,186,39,31,"https://www.ted.com/talks/anna_deavere_smith_s_american_character
"
53,3,89,31,12,4,23,22,48,98,84,4,6,94,"https://www.ted.com/talks/saul_griffith_on_everyday_inventions
"
10,11,156,21,42,9,105,12,188,111,172,26,9,55,"https://www.ted.com/talks/neil_gershenfeld_on_fab_labs
"
141,199,93,73,575,159,35,53,1260,411,242,313,21,30,"https://www.ted.com/talks/carl_honore_praises_slowness
"
47,11,37,45,160,102,32,23,368,208,86,45,11,7,"https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda
"
46,44,60,71,178,74,79,17,403,353,229,168,5,20,"https://www.ted.com/talks/e_o_wilson_on_saving_life_on_earth
"
24,3,25,27,171,637,296,24,574,234,198,126,13,15,"https://www.ted.com/talks/james_nachtwey_s_searing_pictures_of_war
"
63,36,35,70,285,289,107,30,944,387,432,441,27,28,"https://www.ted.com/talks/jane_goodall_on_what_separates_us_from_the_apes
"
158,785,444,46,811,91,100,59,1040,997,571,95,34,23,"https://www.ted.com/talks/seth_godin_on_sliced_bread
"
66,306,106,54,29,39,54,184,230,360,298,101,47,34,"https://www.ted.com/talks/james_watson_on_how_he_discovered_dna
"
284,319,221,123,32,2,93,102,62,173,367,109,35,80,"https://www.ted.com/talks/al_seckel_says_our_brains_are_mis_wired
"
17,15,121,49,63,19,34,34,116,89,68,20,17,14,"https://www.ted.com/talks/dean_kamen_on_inventing_and_giving
"
21,35,89,19,133,23,181,19,176,319,310,27,15,7,"https://www.ted.com/talks/juan_enriquez_on_genomics_and_our_future
"
123,468,159,68,33,52,23,70,542,100,138,180,14,31,"https://www.ted.com/talks/stefan_sagmeister_shares_happy_design
"
59,12,97,31,174,78,72,30,518,313,158,100,14,15,"https://www.ted.com/talks/alex_steffen_sees_a_sustainable_future
"
44,7,42,61,2,11,15,60,91,59,53,24,18,69,"https://www.ted.com/talks/thom_mayne_on_architecture_as_connection
"
64,97,23,100,28,36,9,81,162,87,76,88,45,32,"https://www.ted.com/talks/chris_bangle_says_great_cars_are_art
"
31,11,17,3,5,22,22,20,71,2,38,123,13,7,"https://www.ted.com/talks/nora_york_sings_what_i_want
"
56,31,130,11,54,12,9,14,276,199,98,33,19,1,"https://www.ted.com/talks/paul_bennett_finds_design_in_the_details
"
44,507,448,21,20,27,162,16,362,46,402,364,9,10,"https://www.ted.com/talks/vik_muniz_makes_art_with_wire_sugar
"
108,15,78,173,47,66,19,273,108,151,119,20,66,88,"https://www.ted.com/talks/nick_bostrom_on_our_biggest_problems
"
38,14,387,33,234,74,338,18,874,448,704,241,27,11,"https://www.ted.com/talks/janine_benyus_shares_nature_s_designs
"
10,3,54,8,23,21,74,3,73,199,163,12,0,23,"https://www.ted.com/talks/craig_venter_on_dna_and_the_sea
"
89,13,56,89,0,7,16,80,43,21,65,95,57,53,"https://www.ted.com/talks/golan_levin_on_software_as_art
"
61,272,119,23,106,56,1936,70,556,604,1342,544,37,15,"https://www.ted.com/talks/susan_savage_rumbaugh_on_apes_that_write
"
145,18,141,108,62,71,882,75,611,262,600,1262,88,25,"https://www.ted.com/talks/frans_lanting_s_lyrical_nature_photos
"
67,159,108,21,16,16,234,3,85,496,724,111,8,5,"https://www.ted.com/talks/sheila_patek_clocks_the_fastest_animals
"
70,259,45,6,16,16,5,16,25,11,10,84,28,8,"https://www.ted.com/talks/jill_sobule_sings_to_al_gore
"
58,2,1,20,7,5,17,21,45,0,32,215,9,5,"https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello
"
289,219,189,197,182,27,89,264,204,680,653,67,45,101,"https://www.ted.com/talks/dan_dennett_on_our_consciousness
"
114,122,312,107,218,397,1587,33,2061,483,1291,1535,29,49,"https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
"
25,75,415,49,907,149,207,34,695,257,286,138,39,27,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
"
66,130,66,83,68,14,16,41,166,267,93,18,16,24,"https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
"
17,169,189,7,8,11,133,5,124,4,117,225,11,8,"https://www.ted.com/talks/rives_remixes_ted2006
"
47,5,2,9,3,13,35,17,61,0,24,396,7,2,"https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill
"
23,1,3,12,24,20,48,13,169,6,31,272,15,12,"https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got
"
66,11,36,104,98,435,27,316,319,75,112,223,66,87,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
"
172,1203,663,192,2475,3236,551,539,2935,1113,934,399,406,86,"https://www.ted.com/talks/richard_dawkins_on_militant_atheism
"
71,600,94,54,1,38,39,37,18,11,19,17,116,56,"https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006
"
55,58,27,4,1,9,12,26,40,0,43,224,14,8,"https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez
"
85,11,33,39,51,8,15,17,55,334,100,8,12,19,"https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail
"
80,23,12,29,12,6,54,22,102,1,67,364,23,10,"https://www.ted.com/talks/natalie_macmaster_fiddles_in_reel_time
"
163,94,77,143,22,19,39,50,176,302,97,51,17,54,"https://www.ted.com/talks/sergey_brin_and_larry_page_on_google
"
101,275,88,33,16,57,23,38,52,26,36,61,29,32,"https://www.ted.com/talks/stew_says_black_men_ski
"
87,1006,191,106,1678,446,124,113,801,686,342,52,193,29,"https://www.ted.com/talks/james_howard_kunstler_dissects_suburbia
"
50,43,73,25,13,10,11,29,144,113,84,50,7,7,"https://www.ted.com/talks/david_kelley_on_human_centered_design
"
115,10,25,10,49,30,15,261,53,189,58,24,44,159,"https://www.ted.com/talks/stewart_brand_on_squatter_cities
"
43,256,375,37,268,73,151,44,553,635,750,39,28,22,"https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing
"
28,330,22,22,31,5,50,15,144,383,347,156,14,3,"https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish
"
119,70,1736,40,95,60,14728,41,857,647,1623,632,21,76,"https://www.ted.com/talks/blaise_aguera_y_arcas_demos_photosynth
"
39,4,19,33,207,174,49,72,378,234,57,42,27,19,"https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech
"
39,20,43,21,176,136,42,2,363,347,78,132,3,2,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa
"
94,342,470,13,48,45,167,77,177,125,301,161,8,10,"https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
"
90,330,57,47,171,71,39,50,947,185,209,424,26,73,"https://www.ted.com/talks/bob_thurman_says_we_can_be_buddhas
"
26,3,11,64,4,12,9,60,29,37,12,11,19,0,"https://www.ted.com/talks/david_rockwell_builds_at_ground_zero
"
17,384,293,31,535,194,160,88,149,479,319,16,87,44,"https://www.ted.com/talks/thomas_barnett_draws_a_new_map_for_peace
"
57,3,8,14,8,6,19,24,54,0,48,216,10,10,"https://www.ted.com/talks/ethel_performs_blue_room
"
43,3,44,17,4,9,81,34,16,61,54,16,14,13,"https://www.ted.com/talks/stephen_lawler_tours_microsoft_virtual_earth
"
74,1021,730,27,828,284,5137,36,1569,1544,1265,218,21,29,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
"
48,32,172,32,205,720,1507,64,683,237,437,62,54,21,"https://www.ted.com/talks/bill_stone_explores_the_earth_and_space
"
222,93,327,167,1707,181,143,146,488,854,763,67,62,107,"https://www.ted.com/talks/dan_dennett_on_dangerous_memes
"
47,23,303,26,235,83,463,15,400,469,553,30,16,13,"https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies
"
135,50,558,125,28,31,1157,95,416,232,642,360,48,54,"https://www.ted.com/talks/jonathan_harris_tells_the_web_s_secret_stories
"
83,7,86,34,144,38,40,94,40,386,103,15,18,50,"https://www.ted.com/talks/emily_oster_flips_our_thinking_on_aids_in_africa
"
90,91,628,70,95,37,1285,51,459,218,596,238,18,21,"https://www.ted.com/talks/will_wright_makes_toys_that_make_worlds
"
238,2460,891,78,76,43,103,151,92,81,431,169,65,82,"https://www.ted.com/talks/rives_on_4_a_m
"
111,65,252,149,31,23,1772,28,397,449,912,1054,14,52,"https://www.ted.com/talks/david_bolinsky_animates_a_cell
"
74,440,105,8,27,52,11,44,96,42,14,38,52,10,"https://www.ted.com/talks/allison_hunt_gets_a_new_hip
"
29,29,30,17,165,254,53,15,286,249,80,35,10,15,"https://www.ted.com/talks/george_ayittey_on_cheetahs_vs_hippos
"
