OK,Funny,Ingenious,Longwinded,Persuasive,Courageous,Jaw-dropping,Unconvincing,Inspiring,Informative,Fascinating,Beautiful,Obnoxious,Confusing,url
0.012509323388385722,0.2093233883857219,0.0647096430474161,0.004123601491742142,0.11405434203516249,0.03466169419286095,0.04729888119339371,0.0031965903036760787,0.2655727224294086,0.07827384123601491,0.1127437400106553,0.04872669152903569,0.0022269579115610015,0.00257858284496537,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
"
0.069141689373297,0.18528610354223432,0.01907356948228883,0.03848773841961853,0.09128065395095368,0.0473433242506812,0.039509536784741145,0.08787465940054497,0.14066757493188012,0.15088555858310626,0.04495912806539509,0.019754768392370572,0.04461852861035422,0.02111716621253406,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
"
0.051699716713881017,0.3413597733711048,0.06480169971671389,0.02762039660056657,0.08144475920679886,0.01593484419263456,0.019121813031161474,0.036827195467422094,0.08144475920679886,0.13987252124645894,0.058781869688385266,0.021246458923512748,0.05028328611898017,0.009560906515580737,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
"
0.022800429184549355,0.01582618025751073,0.028165236051502146,0.014216738197424892,0.12339055793991416,0.20386266094420602,0.06169527896995708,0.009656652360515022,0.28701716738197425,0.10193133047210301,0.03540772532188841,0.07805793991416309,0.009388412017167383,0.008583690987124463,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
"
0.009679937548790008,0.05425448868071819,0.12498048399687745,0.00429352068696331,0.09921935987509758,0.012412177985948477,0.14582357533177207,0.002615144418423107,0.11291959406713505,0.2120608899297424,0.17978142076502732,0.03676814988290398,0.002380952380952381,0.002810304449648712,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
"
0.028718416254232874,0.07176348007293566,0.02585308674133889,0.018559520708517845,0.15778848658504818,0.04695233133628549,0.043566032821047145,0.024550664235477988,0.33934618390205784,0.06759572805418078,0.08791351914561084,0.04597551445688981,0.021815576973170096,0.019601458713206565,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
"
0.05135045015005002,0.41413804601533843,0.053351117039013005,0.03217739246415472,0.05185061687229076,0.07952650883627876,0.010170056685561854,0.037512504168056016,0.07302434144714905,0.03767922640880293,0.05268422807602534,0.046182060686895635,0.048349449816605536,0.012004001333777926,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
"
0.0615234375,0.0087890625,0.1904296875,0.025390625,0.0361328125,0.033203125,0.0556640625,0.025390625,0.1708984375,0.1181640625,0.1494140625,0.095703125,0.0048828125,0.0244140625,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
"
0.039026862645717184,0.015205271160669031,0.05347187024835276,0.04485554992397364,0.193613786112519,0.1424227065382666,0.015205271160669031,0.0717181956411556,0.11175874303091739,0.1578813988849468,0.07932083122149011,0.03674607197161683,0.021033958438925495,0.017739483020780537,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
"
0.02942236099435571,0.003122373003482647,0.013930587246307193,0.03674792842560346,0.1853008286297586,0.05716344421760538,0.02509907529722589,0.100636483727633,0.3069532844962171,0.03650774588687403,0.05512189263840519,0.09211000360273808,0.044553860934310074,0.013330130899483608,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
"
0.021910112359550562,0.010112359550561797,0.1449438202247191,0.019101123595505618,0.0898876404494382,0.0949438202247191,0.03707865168539326,0.011797752808988765,0.3415730337078652,0.1050561797752809,0.08314606741573034,0.028651685393258425,0.003932584269662922,0.007865168539325843,"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
"
0.04391891891891892,0.008445945945945946,0.033783783783783786,0.02702702702702703,0.07094594594594594,0.16216216216216217,0.033783783783783786,0.02364864864864865,0.33952702702702703,0.05574324324324324,0.06925675675675676,0.11824324324324324,0.0016891891891891893,0.011824324324324325,"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
"
0.012415349887133182,0.003386004514672686,0.06433408577878104,0.010158013544018058,0.1252821670428894,0.09706546275395034,0.07900677200902935,0.0056433408577878106,0.2708803611738149,0.21218961625282168,0.09367945823927765,0.01805869074492099,0.0056433408577878106,0.002257336343115124,"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
"
0.022604304436695925,0.01250450883732115,0.1219189611638812,0.006612961404352531,0.009258145966093543,0.004088012504508838,0.5582541781892509,0.0038475411807142,0.05663099675363713,0.05542864013466394,0.11049657328363592,0.03330527834555729,0.002765420223638331,0.002284477576049056,"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
"
0.03841229193341869,0.01792573623559539,0.11395646606914213,0.02560819462227913,0.06274007682458387,0.10627400768245839,0.03713188220230474,0.03969270166453265,0.2765685019206146,0.13316261203585147,0.08578745198463508,0.040973111395646605,0.014084507042253521,0.0076824583866837385,"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
"
0.015226799166533099,0.030453598333066198,0.030453598333066198,0.004648180798204841,0.006571565956082706,0.02292033979804456,0.3654431799967944,0.002404231447347331,0.14088796281455362,0.003526206122776086,0.10177913127103702,0.2678313832344927,0.006251001763103062,0.0016028209648982208,"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
"
0.01453301987604189,0.005129301132720667,0.04210301346441547,0.007480230818550973,0.004701859371660611,0.01816627484505236,0.42680059841846546,0.011327206668091472,0.11797392605257534,0.006839068176960889,0.09702927976063261,0.23658901474674077,0.006625347296430861,0.004701859371660611,"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
"
